skill,horizon,MAE,MAPE%
AWS,1,0.7860042453015832,11.526821468422135
AWS,7,0.7666879873979778,11.091154383894935
AWS,14,0.753380204183491,10.644381632940147
AWS,30,0.8095372032040162,11.760935992521867
AWS,60,0.8011991439937611,10.942157477897595
Azure,1,0.7065547668744272,10.213466997254162
Azure,7,0.7221561364646067,10.291233088339531
Azure,14,0.7337123831014165,10.676006333249296
Azure,30,0.6878273774916385,10.286802751848311
Azure,60,0.7276095896840654,10.845576888761972
Computer Vision,1,0.6397461924419348,8.247982588483733
Computer Vision,7,0.6793786260141821,9.046239943119257
Computer Vision,14,0.6761573354927222,8.954197272058796
Computer Vision,30,0.7275646986017233,9.72758536475182
Computer Vision,60,0.7254413106355178,8.812038820943952
Data Visualization,1,0.7541400010540577,10.125570483414737
Data Visualization,7,0.7631545535874252,10.000140013878699
Data Visualization,14,0.8266658174452826,10.890945815105884
Data Visualization,30,0.7547763531918756,9.960943089240994
Data Visualization,60,0.7690870336580959,10.456627099055167
Deep Learning,1,0.727854481134609,10.736674017732948
Deep Learning,7,0.7483059527584245,11.15690906308341
Deep Learning,14,0.7355509480850727,10.783402552624318
Deep Learning,30,0.7328693965512185,10.362805990642713
Deep Learning,60,0.7332949884310044,9.80108541348458
Docker,1,0.7372706513306483,13.610253951034393
Docker,7,0.7351335481587434,13.43347306696758
Docker,14,0.7258033559699334,12.909883673124728
Docker,30,0.7412212679114045,13.348966039232742
Docker,60,0.7205063312379615,12.837396315382154
GCP,1,0.8016457722544192,9.697004242425272
GCP,7,0.7838191261051124,9.31680497380447
GCP,14,0.7503415399288624,9.070813388460625
GCP,30,0.8442338182339602,10.077762245946195
GCP,60,0.8357887289432301,10.058480043219191
Git,1,0.7076214676225037,7.724099955559755
Git,7,0.7481013918452796,8.150712522349782
Git,14,0.6933698608905293,7.493730000259495
Git,30,0.7629600647133374,7.976043230076968
Git,60,0.7260015772630787,7.719848068323263
Hadoop,1,0.8390504645026511,10.34078692027428
Hadoop,7,0.828450974085759,9.947552254389207
Hadoop,14,0.8498642933462274,10.139603287990639
Hadoop,30,0.7841893673790052,9.290695432509324
Hadoop,60,0.8831618435645221,10.777267256262464
Java,1,0.7666773112815995,8.320229726108769
Java,7,0.7568542767663246,8.290324990757203
Java,14,0.7805820468794668,8.43684874914244
Java,30,0.8016383770338876,8.772988757700702
Java,60,0.7369552237141678,8.146792731540947
Kubernetes,1,0.7798383181549503,7.356119830668091
Kubernetes,7,0.80281877220154,7.49462208279056
Kubernetes,14,0.7806906477770621,7.126283369560643
Kubernetes,30,0.7980221041093453,7.382600934693569
